year,tite,url,author,theme
1899,The Everlasting Voices,/poetsorg/poem/everlasting-voices,W. B. Yeats,Aging
2017,Set in Stone,/poetsorg/poem/set-stone,Kevin Carey,Aging
2003,The Gardener,/poetsorg/poem/gardener,Patricia Hooper,Aging
1886,August,/poetsorg/poem/august-1,Helen Hunt Jackson,Aging
2017,Original Hope,/poetsorg/poem/original-hope,Lauren Camp,Aging
2017,A Better Life,/poetsorg/poem/better-life,Randall Mann,Aging
2017,No One,/poetsorg/poem/no-one,Gerald Stern,Aging
2017,Generation,/poetsorg/poem/generation,David St. John,Aging
2016,What Now?,/poetsorg/poem/what-now,Gary Soto,Aging
2016,The Wings of Daylight,/poetsorg/poem/wings-daylight,W. S. Merwin,Aging
2017,Galaxy Love,/poetsorg/poem/galaxy-love,Gerald Stern,Aging
2017,"A Face, a Cup",/poetsorg/poem/face-cup,Molly Peacock,Aging
2015,Song of Some Ruins,/poetsorg/poem/song-some-ruins,Marilyn Krysl,Aging
2016,Negative Theology,/poetsorg/poem/negative-theology,Melissa Range,Aging
2016,The Laughing Child,/poetsorg/poem/laughing-child,W. S. Merwin,Aging
2016,Landscape with Clinic and Oracle,/poetsorg/poem/landscape-clinic-and-oracle,Lynn Melnick,Aging
2003,Images,/poetsorg/poem/images-0,Jaime Manrique,Aging
2016,Between the Dragon and the Phoenix,/poetsorg/poem/between-dragon-and-phoenix,C. Dale Young,Aging
2016,Ordinary Time,/poetsorg/poem/ordinary-time,Jay Parini,Aging
1998,Scaffolding,/poetsorg/poem/scaffolding,Seamus Heaney,Aging
2005,Afternoons,/poetsorg/poem/afternoons,Jorge H. Aigla,Aging
2016,Name That Tune ,/poetsorg/poem/name-tune,Jennifer L. Knox,Aging
2016,His Morning Meditations,/poetsorg/poem/his-morning-meditations,Jay Parini,Aging
2006,"For the Graduation [Bolinas School, June 11, 1971]",/poetsorg/poem/graduation-bolinas-school-june-11-1971,Robert Creeley,Aging
1978,Twenty-One Love Poems [Poem III],/poetsorg/poem/twenty-one-love-poems-poem-iii,Adrienne Rich,Aging
1972,Che Fece . . . Il Gran Rifiuto,/poetsorg/poem/che-fece-il-gran-rifiuto,C. P. Cavafy,Aging
2016,Emergency Vehicles,/poetsorg/poem/emergency-vehicles,Kay Ryan,Aging
1878,Nature,/poetsorg/poem/nature,Henry Wadsworth Longfellow,Aging
1855,There was a child went forth every day,/poetsorg/poem/there-was-child-went-forth-every-day,Walt Whitman,Aging
2015,Golden Anniversary,/poetsorg/poem/golden-anniversary,Wislawa Szymborska,Aging
2010,Autumn Passage,/poetsorg/poem/autumn-passage,Elizabeth Alexander,Aging
1989,Happenstance,/poetsorg/poem/happenstance,Rita Dove,Aging
2012,True Peace,/poetsorg/poem/true-peace,Sam Hamill,Aging
1825,from Morituri Salutamus,/poetsorg/poem/morituri-salutamus,Henry Wadsworth Longfellow,Aging
2010,Oshi,/poetsorg/poem/oshi,James L. White,Aging
2011,"Arthritis is one thing, the hurting another",/poetsorg/poem/arthritis-one-thing-hurting-another,Camille T. Dungy,Aging
1609,"Poor soul, the centre of my sinful earth (Sonnet 146)",/poetsorg/poem/poor-soul-centre-my-sinful-earth-sonnet-146,William Shakespeare,Aging
2015,Everyday Escapes,/poetsorg/poem/everyday-escapes,Dean Young,Aging
2015,All the Thoughts at a Football Game,/poetsorg/poem/all-thoughts-football-game,Juan Felipe Herrera,Aging
1983,Remember,/poetsorg/poem/remember-0,Joy Harjo,Aging
1609,Like as the waves make towards the pebbled shore (Sonnet 60),/poetsorg/poem/waves-make-towards-pebbled-shore-sonnet-60,William Shakespeare,Aging
1609,"O thou, my lovely boy, who in thy power (Sonnet 126)",/poetsorg/poem/o-thou-my-lovely-boy-who-thy-power-sonnet-126,William Shakespeare,Aging
2009,from Bharat jiva [running sadness to the ground],/poetsorg/poem/bharat-jiva-running-sadness-ground,kari edwards,Aging
2015,Conductor,/poetsorg/poem/conductor,Marilyn Nelson,Aging
2015,Eruv,/poetsorg/poem/eruv,Rebecca Okrent,Aging
2015,Geode,/poetsorg/poem/geode,Alicia Jo Rabins,Aging
2015,from “You Are in Nearly Every Future”,/poetsorg/poem/%E2%80%9Cyou-are-nearly-every-future%E2%80%9D,Noah Falck,Aging
2015,More Stones,/poetsorg/poem/more-stones,Andrea Cohen,Aging
1912,Leisure,/poetsorg/poem/leisure,Amy Lowell,Aging
2015,from The Uses of the Body,/poetsorg/poem/uses-body,Deborah Landau,Aging
2015,Self-Portrait at 36 w/ David,/poetsorg/poem/self-portrait-36-w-david,Ellen Hagan,Aging
2015,Enough,/poetsorg/poem/enough-0,Ellen Bass,Aging
2015,Living Room,/poetsorg/poem/living-room,David Yezzi,Aging
1917,Imagery,/poetsorg/poem/imagery,Archibald MacLeish,Aging
2014,Everything That Happens Can Be Called Aging,/poetsorg/poem/everything-happens-can-be-called-aging,Carl Adamshick,Aging
2014,Manic Panic,/poetsorg/poem/manic-panic,Marisa Crawford,Aging
2014,Testimony,/poetsorg/poem/testimony,Joseph Fasano,Aging
2014,Flowers of Rad,/poetsorg/poem/flowers-rad,Sampson Starkweather,Aging
2013,As You Never Bothered to Return My Call,/poetsorg/poem/you-never-bothered-return-my-call,August Kleinzahler,Aging
2013,"Get Up, Please",/poetsorg/poem/get-please,David Kirby,Aging
2014,Dämmerung,/poetsorg/poem/d%C3%A4mmerung,Simon Armitage,Aging
2014,Old Folks' Jokes,/poetsorg/poem/old-folks-jokes,Ravi Shankar,Aging
2013,My Skeleton,/poetsorg/poem/my-skeleton,Jane Hirshfield,Aging
2013,E.H.,/poetsorg/poem/eh,John Koethe,Aging
2013,Demeter in Paris,/poetsorg/poem/demeter-paris,Meghan O'Rourke,Aging
2013,A blurry photograph,/poetsorg/poem/blurry-photograph,Martha Ronk,Aging
2013,Domestic,/poetsorg/poem/domestic,Deborah Landau,Aging
2012,Big Game,/poetsorg/poem/big-game,Brenda Shaughnessy,Aging
2004,Wonder as Wander,/poetsorg/poem/wonder-wander,Sharon Olds,Aging
2012,Fixed Interval,/poetsorg/poem/fixed-interval,Devin Johnston,Aging
2013,Gate of Freedom,/poetsorg/poem/gate-freedom,Deema K. Shehabi,Aging
2013,Variation on a Theme,/poetsorg/poem/variation-theme,W. S. Merwin,Aging
2012,Quiet,/poetsorg/poem/quiet,Tony Hoagland,Aging
1989,Christmas Eve: My Mother Dressing,/poetsorg/poem/christmas-eve-my-mother-dressing,Toi Derricotte,Aging
2012,Automatic Teller Machine,/poetsorg/poem/automatic-teller-machine,Ben Mirov,Aging
2012,The Vista,/poetsorg/poem/vista,C. Dale Young,Aging
2011,Fork with Two Tines Pushed Together,/poetsorg/poem/fork-two-tines-pushed-together,Nick Lantz,Aging
2011,Rondo,/poetsorg/poem/rondo,Janet Holmes,Aging
2011,The Plain Sense of Things,/poetsorg/poem/plain-sense-things,Wallace Stevens,Aging
2010,Abandonment Under the Walnut Tree,/poetsorg/poem/abandonment-under-walnut-tree,D. A. Powell,Aging
2012,Life,/poetsorg/poem/life,Joe Brainard,Aging
2011,Memento,/poetsorg/poem/memento,Eamon Grennan,Aging
2011,Complaint,/poetsorg/poem/complaint,William Logan,Aging
2011,Almost Sixty,/poetsorg/poem/almost-sixty,Jim Moore,Aging
2010,NIGHTMORNINGSKY,/poetsorg/poem/nightmorningsky,Peter Cooley,Aging
2010,Refusing at Fifty-Two to Write Sonnets,/poetsorg/poem/refusing-fifty-two-write-sonnets,Thomas Lynch,Aging
2010,The Widows of Gravesend,/poetsorg/poem/widows-gravesend,L. S. Asekoff,Aging
2009,this kind of fire,/poetsorg/poem/kind-fire,Charles Bukowski,Aging
2008,Looking Back in My Eighty-First Year,/poetsorg/poem/looking-back-my-eighty-first-year,Maxine Kumin,Aging
2005,In View of the Fact,/poetsorg/poem/view-fact,A. R. Ammons,Aging
2010,Simulacra,/poetsorg/poem/simulacra,Ching-In Chen,Aging
2009,Since Nine O'Clock,/poetsorg/poem/nine-oclock,C. P. Cavafy,Aging
2009,Fear of the Future,/poetsorg/poem/fear-future,John Koethe,Aging
2007,The Edges of Time (audio only),/poetsorg/poem/edges-time-audio-only,Kay Ryan,Aging
2005,"""Now, I know you remember so and so""",/poetsorg/poem/now-i-know-you-remember-so-and-so,Doris Davenport,Aging
2005,The Intruder,/poetsorg/poem/intruder,David R. Slavitt,Aging
2002,Affirmation,/poetsorg/poem/affirmation,Donald Hall,Aging
1998,First Gestures,/poetsorg/poem/first-gestures,Julia Spicher Kasdorf,Aging
1997,Self-Portrait,/poetsorg/poem/self-portrait,Adam Zagajewski,Aging
1992,United Jewish Appeal,/poetsorg/poem/united-jewish-appeal,Michael Blumenthal,Aging
2004,Poem at Thirty,/poetsorg/poem/poem-thirty,Michael Ryan,Aging
1999,Forgetfulness,/poetsorg/poem/forgetfulness,Billy Collins,Aging
1997,Two Horses and a Dog,/poetsorg/poem/two-horses-and-dog,James Galvin,Aging
1996,Blues,/poetsorg/poem/blues,Elizabeth Alexander,Aging
1991,Age,/poetsorg/poem/age,Robert Creeley,Aging
1990,Chorus from Oedipus at Colonos,/poetsorg/poem/chorus-oedipus-colonos,Anthony Hecht,Aging
1985,that they were at the beach [excerpt],/poetsorg/poem/they-were-beach-excerpt,Leslie Scalapino,Aging
1962,To a Poor Old Woman,/poetsorg/poem/poor-old-woman,William Carlos Williams,Aging
1956,The River-Merchant's Wife: A Letter,/poetsorg/poem/river-merchants-wife-letter,Ezra Pound,Aging
1937,Do not go gentle into that good night,/poetsorg/poem/do-not-go-gentle-good-night,Dylan Thomas,Aging
1986,The Chicago Poem,/poetsorg/poem/chicago-poem,Jerome Rothenberg,Aging
1982,Letters from a Father,/poetsorg/poem/letters-father,Mona Van Duyn,Aging
1959,To My Daughter,/poetsorg/poem/my-daughter-0,Hyam Plutzik,Aging
1937,The force that through the green fuse drives the flower,/poetsorg/poem/force-through-green-fuse-drives-flower,Dylan Thomas,Aging
1937,Fern Hill,/poetsorg/poem/fern-hill,Dylan Thomas,Aging
1936,Lunch With the Sole Survivor,/poetsorg/poem/lunch-sole-survivor,Kenneth Fearing,Aging
1928,Sailing to Byzantium,/poetsorg/poem/sailing-byzantium,W. B. Yeats,Aging
1921,A Prayer for my Daughter,/poetsorg/poem/prayer-my-daughter,W. B. Yeats,Aging
1920,Gerontion,/poetsorg/poem/gerontion,T. S. Eliot,Aging
1918,To a Young Girl at a Window,/poetsorg/poem/young-girl-window,Margaret Widdemer,Aging
1928,The Tower,/poetsorg/poem/tower,W. B. Yeats,Aging
1923,Along with Youth,/poetsorg/poem/along-youth,Ernest Hemingway,Aging
1920,Moonlight,/poetsorg/poem/moonlight,Sara Teasdale,Aging
1919,When You Are Old,/poetsorg/poem/when-you-are-old,W. B. Yeats,Aging
1918,To the Others,/poetsorg/poem/others,Lola Ridge,Aging
1916,To Earthward,/poetsorg/poem/earthward,Robert Frost,Aging
1915,The Love Song of J. Alfred Prufrock,/poetsorg/poem/love-song-j-alfred-prufrock,T. S. Eliot,Aging
1910,If—,/poetsorg/poem/if%E2%80%94,Rudyard Kipling,Aging
1906,The Word,/poetsorg/poem/word,Ella Wheeler Wilcox,Aging
1859,Rock Me to Sleep,/poetsorg/poem/rock-me-sleep,Elizabeth Akers Allen,Aging
1916,The Young Man's Song,/poetsorg/poem/young-mans-song,W. B. Yeats,Aging
1913,Beyond the Years,/poetsorg/poem/beyond-years,Paul Laurence Dunbar,Aging
1910,A Vision of Rest,/poetsorg/poem/vision-rest-0,Alexander Posey,Aging
1888,Age and Death,/poetsorg/poem/age-and-death,Emma Lazarus,Aging
1855,To Think of Time,/poetsorg/poem/think-time,Walt Whitman,Aging
1855,My Lost Youth,/poetsorg/poem/my-lost-youth,Henry Wadsworth Longfellow,Aging
1819,The Human Seasons,/poetsorg/poem/human-seasons,John Keats,Aging
1807,Ode on Intimations of Immortality from Recollections of Early Childhood,/poetsorg/poem/ode-intimations-immortality-recollections-early-childhood,William Wordsworth,Aging
1681,To His Coy Mistress,/poetsorg/poem/his-coy-mistress,Andrew Marvell,Aging
1648,"To the Virgins, to Make Much of Time",/poetsorg/poem/virgins-make-much-time,Robert Herrick,Aging
1849,El Dorado,/poetsorg/poem/el-dorado,Edgar Allan Poe,Aging
1807,My Heart Leaps Up,/poetsorg/poem/my-heart-leaps,William Wordsworth,Aging
1798,"Lines Composed a Few Miles above Tintern Abbey, on Revisiting the Banks of the Wye During a Tour, July 13, 1798",/poetsorg/poem/lines-composed-few-miles-above-tintern-abbey-revisiting-banks-wye-during-tour-july-13,William Wordsworth,Aging
1651,To Chloe: Who for his sake wished herself younger,/poetsorg/poem/chloe-who-his-sake-wished-herself-younger,William Cartwright,Aging
1623,"As You Like It, Act II, Scene VII [All the world's a stage]",/poetsorg/poem/you-it-act-ii-scene-vii-all-worlds-stage,William Shakespeare,Aging
1910,The Conquerors,/poetsorg/poem/conquerors,Alexander Posey,Ambition
2017,"To the Cardinal, Attacking His Reflection in the Window",/poetsorg/poem/cardinal-attacking-his-reflection-window,Leah Naomi Green,Ambition
2010,My Father's Kites,/poetsorg/poem/my-fathers-kites,Allison Joseph,Ambition
1916,Huntress,/poetsorg/poem/huntress,H. D.,Ambition
1599,"Julius Caesar, Act III, Scene II [Be patient till the last]",/poetsorg/poem/julius-caesar-act-iii-scene-ii-be-patient-till-last,William Shakespeare,Ambition
1990,Religious Instructions for Young Casualties,/poetsorg/poem/religious-instructions-young-casualties,Sandra María Esteves,Ambition
1997,Soul Train,/poetsorg/poem/soul-train,Allison Joseph,Ambition
1916,The Prophet,/poetsorg/poem/prophet-0,D. H. Lawrence,Ambition
1599,"Julius Caesar, Act II, Scene I [It must be by his death. And for my part]",/poetsorg/poem/julius-caesar-act-ii-scene-i-it-must-be-his-death-and-my-part,William Shakespeare,Ambition
1599,"Julius Caesar, Act III, Scene II [Friends, Romans, countrymen, lend me your ears]",/poetsorg/poem/julius-caesar-act-iii-scene-ii-friends-romans-countrymen-lend-me-your-ears,William Shakespeare,Ambition
1953,The Waking,/poetsorg/poem/waking,Theodore Roethke,Ambition
2017,When I Grow Up I Want to Be a List of Further Possibilities,/poetsorg/poem/when-i-grow-i-want-be-list-further-possibilities,Chen Chen,Ambition
1881,When I Read the Book ,/poetsorg/poem/when-i-read-book,Walt Whitman,Ambition
1972,Che Fece . . . Il Gran Rifiuto,/poetsorg/poem/che-fece-il-gran-rifiuto,C. P. Cavafy,Ambition
1919,Collectors,/poetsorg/poem/collectors,Marion Strobel,Ambition
2017,Stardate 8809.22,/poetsorg/poem/stardate-880922,Adrian Matejka,Ambition
2016,To a Magazine,/poetsorg/poem/magazine,Mary Ruefle,Ambition
2015,Losing the 440-Yard Dash,/poetsorg/poem/losing-440-yard-dash,Afaa Michael Weaver,Ambition
1919,It Couldn't Be Done,/poetsorg/poem/it-couldnt-be-done,Edgar Guest,Ambition
1825,from Morituri Salutamus,/poetsorg/poem/morituri-salutamus,Henry Wadsworth Longfellow,Ambition
2016,Muse Not Muse,/poetsorg/poem/muse-not-muse,Rosanna Warren,Ambition
2014,No Hands,/poetsorg/poem/no-hands,Carol Muske-Dukes,Ambition
1600,"Hamlet, Act III, Scene II [Nay, do not think I flatter]",/poetsorg/poem/hamlet-act-iii-scene-ii-nay-do-not-think-i-flatter,William Shakespeare,Ambition
2015,Cream City,/poetsorg/poem/cream-city,Margaret Noodin,Ambition
2014,Shakespeare's Horse,/poetsorg/poem/shakespeares-horse,Joseph Harrison,Ambition
2013,Private Equity,/poetsorg/poem/private-equity,Sophie Cabot Black,Ambition
1607,"Timon of Athens, Act IV, Scene II [Good fellows all]",/poetsorg/poem/timon-athens-act-iv-scene-ii-good-fellows-all,William Shakespeare,Ambition
1604,"Othello, Act I, Scene I [O, sir, content you]",/poetsorg/poem/othello-act-i-scene-i-o-sir-content-you,William Shakespeare,Ambition
2015,Let Everything Happen to You,/poetsorg/poem/let-everything-happen-you,Natalie Eilbert,Ambition
2014,Mozart,/poetsorg/poem/mozart,Caroline Knox,Ambition
2013,Meaning,/poetsorg/poem/meaning,Carl Dennis,Ambition
2010,All those Attempts in the Changing Room!,/poetsorg/poem/all-those-attempts-changing-room,Anne Stevenson,Ambition
2005,Failing and Flying,/poetsorg/poem/failing-and-flying,Jack Gilbert,Ambition
2002,Fisherman,/poetsorg/poem/fisherman,Kurt Brown,Ambition
1998,The Chance,/poetsorg/poem/chance-0,Arthur Sze,Ambition
2011,Civilization,/poetsorg/poem/civilization,Carl Phillips,Ambition
2008,That Everything's Inevitable,/poetsorg/poem/everythings-inevitable,Katy Lederer,Ambition
2005,The Dirt Eaters,/poetsorg/poem/dirt-eaters,Virgil Suárez,Ambition
2001,Untranslatable Song,/poetsorg/poem/untranslatable-song,Claudia Reder,Ambition
1995,Famous,/poetsorg/poem/famous,Naomi Shihab Nye,Ambition
1994,Rune of the Finland Woman,/poetsorg/poem/rune-finland-woman,Marilyn Hacker,Ambition
1972,My Great Great Etc. Uncle Patrick Henry,/poetsorg/poem/my-great-great-etc-uncle-patrick-henry,James Tate,Ambition
1917,See It Through,/poetsorg/poem/see-it-through,Edgar Guest,Ambition
1915,George Gray,/poetsorg/poem/george-gray,Edgar Lee Masters,Ambition
1910,If—,/poetsorg/poem/if%E2%80%94,Rudyard Kipling,Ambition
1989,Lullaby of the Onion,/poetsorg/poem/lullaby-onion,Miguel Hernández,Ambition
1967,The Bee ,/poetsorg/poem/bee,James Dickey,Ambition
1917,Lift Every Voice and Sing,/poetsorg/poem/lift-every-voice-and-sing,James Weldon Johnson,Ambition
1913,Aztec Mask,/poetsorg/poem/aztec-mask,Carl Sandburg,Ambition
1910,Aspiration,/poetsorg/poem/aspiration,Henrietta Cordelia Ray,Ambition
1856,To You,/poetsorg/poem/you,Walt Whitman,Ambition
1734,"Essay on Man, Epistle II",/poetsorg/poem/essay-man-epistle-ii,Alexander Pope,Ambition
1818,Ozymandias,/poetsorg/poem/ozymandias,Percy Bysshe Shelley,Ambition
2017,John Henry crosses the threshold—,/poetsorg/poem/john-henry-crosses-threshold,Samiya Bashir,America
2008,Coffee,/poetsorg/poem/coffee,Matthew Dickman,America
2016,Late American Aubade,/poetsorg/poem/late-american-aubade,Alexandra Teague,America
2015,American Towns,/poetsorg/poem/american-towns,Laura Da’,America
2017,[everyone asks for the you they remember],/poetsorg/poem/everyone-asks-you-they-remember,,America
2013,Leaving Tulsa,/poetsorg/poem/leaving-tulsa,Jennifer Foerster,America
1903,A Tribute to the Future of My Race,/poetsorg/poem/tribute-future-my-race,Laura Cornelius Kellogg,America
2016,"Thanksgiving in the Anthropocene, 2015",/poetsorg/poem/thanksgiving-anthropocene-2015,Craig Santos Perez,America
2017,West Virginia,/poetsorg/poem/west-virginia,William Brewer,America
2017,Your Friendly Bank Is Offering,/poetsorg/poem/your-friendly-bank-offering,Claire McQuerry,America
2017,Jackhammering Limestone,/poetsorg/poem/jackhammering-limestone,Erika Meitner,America
1899,To the American People,/poetsorg/poem/american-people,Richard Calmit Adams,America
2017,Wednesday 9/12/01,/poetsorg/poem/wednesday-91201,Lucille Clifton,America
2017,Thursday 9/13/01,/poetsorg/poem/thursday-91301,Lucille Clifton,America
2017,Friday 9/14/01,/poetsorg/poem/friday-91401,Lucille Clifton,America
2017,America: Hepatomancy,/poetsorg/poem/america-hepatomancy,Alexandra Teague,America
2017,Testimony,/poetsorg/poem/testimony-0,Hafizah Geter,America
2017,Sunday Morning 9/16/01,/poetsorg/poem/sunday-morning-91601,Lucille Clifton,America
2017,Monday Sundown 9/17/01,/poetsorg/poem/monday-sundown-91701,Lucille Clifton,America
2017,Saturday 9/15/01,/poetsorg/poem/saturday-91501,Lucille Clifton,America
2017,800 Days: Libation,/poetsorg/poem/800-days-libation,Tiana Clark,America
1916,Ode in Memory of the American Volunteers Fallen for France,/poetsorg/poem/ode-memory-american-volunteers-fallen-france,Alan Seeger,America
2017,As to Why We Will Not Stop (Making the Hats),/poetsorg/poem/why-we-will-not-stop-making-hats,Sophie Cabot Black,America
,On the Freedom of the Press,/poetsorg/poem/freedom-press,Benjamin Franklin,America
2017,Beginners,/poetsorg/poem/beginners,Michael Klein,America
